,State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference,Coverage.county.FIPS,Coverage.city.FIPS,population_reference.1,Unnamed: 0.1,Face Covering Requirements,Details (if any) 
0,Alabama,State-wide,Alabama,03-13-2020,State of Emergency declared,,,,,,,,,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/10/20,4903185,1.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769902,,,
1,Alabama,State-wide,Alabama,03-27-2020,,,,,,,,Some (cherry-picked) businesses closed,"On March 27, all non-essential businesses"" in the state were ordered to be closed until April 17, including barbershops, furniture stores, gyms, casinos, theaters, arcades, night clubs, salons and spas. ABC stores would remain open. Governor Ivey again re",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,4903185,1.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769903,,,
2,Alabama,State-wide,Alabama,03-02-2020,,,,Suggested social distancing,,,,,"On March 2, the Alabama Department of Public Health advised individuals to wash your hands frequently, avoid touching your face, cover coughs and sneezes, stay home when you are ill, and practice social distancing strategies"".""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,4903185,1.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769904,,,
3,Alabama,State-wide,Alabama,04-04-2020,,,Shelter-in-place order,,,,,,"On April 3, Governor Ivey issued a statewide stay-at-home order effective April 4 until April 30.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,4903185,1.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769905,,,
4,Alabama,State-wide,Alabama,03-18-2020,,,,Banned gatherings of a certain size,50.0,Schools closed,,,"On March 12, all schools were closed from March 18 until April 6 and ""On March 18, statewide health order prohibited all non-work related gatherings of 25+ persons or any non-work related gatherings that cannot maintain consistent six-foot spacing between",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,4903185,1.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769906,,,
5,Alabama,Regional,Birmingham,03-24-2020,,,Shelter-in-place order,,,,,,"On March 24, Birmingham issued a stay-at-home order (as a 24-hour curfew) effective March 24 to April 3.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,209880,1.0,,7000.0,https://www.census.gov/quickfacts/fact/table/birminghamcityalabama/IPE120218,,,
6,Alabama,Regional,Montgomery,03-27-2020,,,Shelter-in-place order,,,,,,"Tuscaloosa city mayor Walt Maddox issued a city-wide curfew, lasting from 10:00 p.m. until 5:00 a.m. each day, effective March 27 to April 3.... ""Tuscaloosa extended its city-wide curfew to 24 hours, beginning March 29 at 10:00 p.m., set to last an additi",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,198218,1.0,,51000.0,https://www.census.gov/quickfacts/fact/table/montgomerycityalabama/PST040219,,,
7,Alabama,Regional,Tuscaloosa,03-27-2020,,,Shelter-in-place order,,,,,,"Tuscaloosa city mayor Walt Maddox issued a city-wide curfew, lasting from 10:00 p.m. until 5:00 a.m. each day, effective March 27 to April 3.... ""Tuscaloosa extended its city-wide curfew to 24 hours, beginning March 29 at 10:00 p.m., set to last an additi",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,4/10/20,101113,1.0,,77256.0,https://www.census.gov/quickfacts/tuscaloosacityalabama,,,
8,Alaska,State-wide,Alaska,03-25-2020,,Travel restrictions for out of state travelers,,,,,,,"Mike Dunleavy ordered everyone arriving in Alaska to self-quarantine for 14 days upon arrival, effective March 25, with limited exceptions",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,4/10/20,731545,2.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769907,,,
9,Alaska,State-wide,Alaska,03-18-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Effective March 18, restaurants were restricted to take-out and delivery, and entertainment venues such as movie theaters and gyms were closed.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,4/10/20,731545,2.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769908,,,
10,Alaska,State-wide,Alaska,03-11-2020,State of Emergency declared,,,,,,,,,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/10/20,731545,2.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769909,,,
11,Alaska,State-wide,Alaska,03-16-2020,,,,,,Schools closed,,,"On March 13, Governor Mike Dunleavy ordered public schools to close from March 16 to 30, which was later extended to May 1.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,4/10/20,731545,2.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769910,,,
12,Alaska,Regional,Anchorage,03-22-2020,,,Shelter-in-place order,,,,,,"Mayor of Anchorage Ethan Berkowitz issued an emergency hunker down order"" effective March 22""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,4/10/20,288000,2.0,20,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770088,,,
13,Arizona,State-wide,Arizona,03-31-2020,,,Shelter-in-place order,,,,,,"On March 30, Gov. Ducey issued a statewide stay at home order to stop the spread of new coronavirus, barring Arizonans from leaving their residences except for food, medicine, and other essentials. The order took effect at the close of business March 31.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,7278717,4.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769911,,,
14,Arizona,State-wide,Arizona,03-12-2020,State of Emergency declared,,,,,,,,Arizona Governor Doug Ducey declared a public health emergency on March 12.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,7278717,4.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769912,,,
15,Arizona,Regional,Coconino,03-20-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,143476,4.0,5,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770089,,,
