"","State","X","Timestamp","Effective.Date","Coverage","State.of.Emergency.Declaration","Travel.Restrictions","Shelter.in.place.Order","Gathering.Limitations","Banning.Gatherings.of.a.Certain.Size","K.12.School.Closure","Bar.and.Dine.in.Restaurant.Closure","Non.essential.Businesses.Closure","Details..if.any.","Reference.links","Unnamed..0","Face.Covering.Requirements","state_pop_2019","population_reference","population_reference_URL"
"1","Alabama",298,"4/10/2020 15:01:18","04-04-2020","State-wide","","","Shelter-in-place order","",NA,"","","","""On April 3, Governor Ivey issued a statewide stay-at-home order effective April 4 until April 30.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"2","Alabama",44,"4/10/2020 14:59:49","03-13-2020","State-wide","State of Emergency declared","","","",NA,"","","","See table.","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"3","Alabama",128,"4/10/2020 14:42:59","03-18-2020","State-wide","","","","Banned gatherings of a certain size",50,"Schools closed","","","""On March 12, all schools were closed from March 18 until April 6"" and ""On March 18, statewide health order prohibited all non-work related gatherings of 25+ persons or any non-work related gatherings that cannot maintain consistent six-foot spacing between people.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"4","Alabama",0,"5/8/2020 16:06:47","05-01-2020","State-wide","","","Shelter-in-place order lifted","Banned gatherings of a certain size",10,"","","Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements","""People are encouraged to stay at home and practice good sanitation procedures but the stay-at-home order is lifted. All retail stores will be allowed to reopen, subject to sanitation and social-distancing guidelines. Occupancy will be limited to 50 percent. Restaurants, bars and breweries remain limited to take-out, curbside or delivery. Non work-related gatherings of 10 people or more are prohibited. Entertainment venues, such as night clubs, theaters and bowling alleys will be closed. Athletic facilities such as gyms will be closed. Close-contact service providers such as barber shops, hair salons, nail salons, gyms and tattoo service will remain closed.""","https://www.al.com/news/2020/04/gov-kay-ivey-press-conference-on-plans-for-reopening-alabama-watch-live.html",0,"Face covering requirements for some workers",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"5","Alabama",184,"4/10/2020 14:49:49","03-24-2020","Birmingham","","","Shelter-in-place order","",NA,"","","","""On March 24, Birmingham issued a stay-at-home order (as a 24-hour curfew) effective March 24 to April 3.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"6","Alabama",1,"5/28/2020 10:00:00","05-11-2020","State-wide","","","","Banning gatherings lifted",NA,"","Bar and dine-in restaurant open with extra requirements","Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements","""Ivey later announced a second amended order that applied statewide from May 11 to May 22. It permitted restaurants to open at a 50% occupancy rate with six feet of spacing between tables. Personal care services like barber shops and salons can operate according to state protocols. Gyms, athletic facilities and athletic classes can resume under strict sanitation and social distancing guidelines"" and ""The amended Safer at Home order removes the 10 person limit on non-work gatherings, including those at beaches. People are still required to maintain six feet of distance from non-household members.","",1,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"7","Alabama",232,"4/10/2020 14:52:59","03-27-2020","Tuscaloosa and Montgomery","","","Shelter-in-place order","",NA,"","","","""Tuscaloosa city mayor Walt Maddox issued a city-wide curfew, lasting from 10:00 p.m. until 5:00 a.m. each day, effective March 27 to April 3.""... ""Tuscaloosa extended its city-wide curfew to 24 hours, beginning March 29 at 10:00 p.m., set to last an additional week. The Tuscaloosa stay-at-home order (the second in the state) came after Alabama Attorney General Steve Marshall's opinion published on the same day that provided cities and counties with more authority to combat the pandemic."" and ""Montgomery mayor Steven Reed enacted an indefinite, 10:00 p.m. to 5:00 a.m. curfew starting the night of March 27 to help contain COVID-19. The order does not impact essential businesses.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"8","Alabama",233,"4/10/2020 14:55:16","03-27-2020","State-wide","","","","",NA,"","","Some (cherry-picked) businesses closed","""On March 27, all ""non-essential businesses"" in the state were ordered to be closed until April 17, including barbershops, furniture stores, gyms, casinos, theaters, arcades, night clubs, salons and spas. ABC stores would remain open. Governor Ivey again refused to issue a state-wide shelter-in-place order, saying ""I have the responsibility to look statewide and in this case, one size does not fit all"" and that she has to ""keep an eye on the economy""; she added that she would not object to county and city-level containment efforts""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"9","Alabama",3,"4/10/2020 14:39:02","03-02-2020","State-wide","","","","Suggested social distancing",NA,"","","","""On March 2, the Alabama Department of Public Health advised individuals to ""wash your hands frequently, avoid touching your face, cover coughs and sneezes, stay home when you are ill, and practice social distancing strategies"".""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama",NA,"",4903185,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"10","Alaska",2,"5/8/2020 16:20:53","04-24-2020","State-wide","","","Shelter-in-place order lifted","Banned gatherings of a certain size",20,"","Bar and dine-in restaurant open with extra requirements","Non-essential businesses allowed to operate possibly with extra requirements","""... restaurants were permitted to reopen for dine-in service statewide. ... Restaurants can only be filled to 25% of their capacity at once. Alaskans aren’t being asked to stay home anymore, according to the new statewide mandate that took effect Friday and allows for small religious, social and other gatherings. Indoor and outdoor gatherings are limited to 20 people... Retail: Only 20 people or 25% of the store’s capacity, whichever number is smaller, can be in the store at once. All employees need to wear cloth face coverings... The state and the municipality released an extensive list of personal care services that can launch back into motion under specific restrictions, including hair salons, barber shops, nail salons... Workout and fitness classes can take place outside, according to the state’s guidelines... Though travel around the state was previously banned, Alaskans can now drive to different communities on the road system... Non-essential, non-public-facing businesses (like law firms or marketing offices): Desks or work stations need to be at least 6 feet apart. "" ","https://www.adn.com/alaska-news/2020/04/25/what-the-reopening-looks-like-under-plans-from-anchorage-and-the-state-of-alaska/",2,"Face covering requirements for the public (non-workers) in certain situations",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"11","Alaska",23,"4/10/2020 15:14:26","03-11-2020","State-wide","State of Emergency declared","","","",NA,"","","","See table.","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"12","Alaska",87,"4/10/2020 15:10:26","03-16-2020","State-wide","","","","",NA,"Schools closed","","","""On March 13, Governor Mike Dunleavy ordered public schools to close from March 16 to 30, which was later extended to May 1.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"13","Alaska",155,"4/10/2020 15:13:19","03-22-2020","Anchorage","","","Shelter-in-place order","",NA,"","","","""Mayor of Anchorage Ethan Berkowitz issued an ""emergency hunker down order"" effective March 22""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"14","Alaska",129,"4/10/2020 15:12:22","03-18-2020","State-wide","","","","",NA,"","Bar and dine-in restaurant closed (except take-out and delivery)","Some (cherry-picked) businesses closed","""Effective March 18, restaurants were restricted to take-out and delivery, and entertainment venues such as movie theaters and gyms were closed.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
