,Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links,Unnamed: 0,Face Covering Requirements
0,4/14/2020 18:52:13,Oregon,02-28-2020,State-wide,,,,Banned gatherings of a certain size,250.0,,,,"""On February 28...She later ordered the cancellation of events for 250 or more people.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response,,
1,4/13/2020 11:42:13,Washington,02-29-2020,State-wide,State of Emergency declared,,,,,,,,"""On February 29, Governor Jay Inslee declared a state of emergency after the first US death attributable to COVID-19 occurred""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764,,
2,4/11/2020 10:57:33,Florida,03-01-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 1, Governor DeSantis declared a public health emergency after two cases were confirmed in Manatee County and Hillsborough County.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,,
3,4/10/2020 14:39:02,Alabama,03-02-2020,State-wide,,,,Suggested social distancing,,,,,"""On March 2, the Alabama Department of Public Health advised individuals to ""wash your hands frequently, avoid touching your face, cover coughs and sneezes, stay home when you are ill, and practice social distancing strategies"".""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,,
4,4/10/2020 16:23:57,California,03-04-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 4, when 53 cases had been confirmed within the state and there had been one fatality, Governor Gavin Newsom declared a state of emergency""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,,
5,4/11/2020 12:05:14,Hawaii,03-04-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 4, Governor David Ige declared a state of emergency until April 29.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
6,4/11/2020 15:00:55,Maryland,03-05-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 5, Governor Larry Hogan declared a state of emergency after the first three cases of coronavirus were confirmed in the state.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
7,4/11/2020 12:23:42,Indiana,03-06-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 6, Governor Eric Holcomb declared a public health emergency due to the first positive Indiana case.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
8,4/11/2020 14:39:47,Kentucky,03-06-2020,State-wide,State of Emergency declared,,,,,,,,"""March 6 – Governor Andy Beshear declared a state of emergency, also confirming the state's first COVID-19 case.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
9,4/14/2020 14:29:38,New York,03-07-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 7, Governor Andrew Cuomo declared a state of emergency.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response,,
10,4/14/2020 14:30:17,New York,03-08-2020,Scarsdale,,,,,,Schools closed,,,"""A number of schools and school districts announced closings or schedule modifications by March 8 due to the virus."" and ""Columbia, Hofstra and Yeshiva universities canceled classes, and public schools in the suburb of Scarsdale will close for the week.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response and https://www.nytimes.com/2020/03/09/nyregion/coronavirus-new-york.html,,
11,4/14/2020 18:57:05,Oregon,03-08-2020,State-wide,State of Emergency declared,,,,,,,,"""Oregon Gov. Kate Brown declared a state of emergency on Sunday to contain the new coronavirus after the number of confirmed cases doubled to 14 from the previous day.""",https://www.usnews.com/news/best-states/oregon/articles/2020-03-08/oregon-declares-state-of-emergency-to-fight-new-coronavirus,,
12,4/11/2020 12:19:41,Illinois,03-09-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 9, Governor J. B. Pritzker issued a disaster proclamation, the state's equivalent to a state of emergency, as four new cases were announced in the state.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,,
