,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
0,2020-03-13,578759,1736277,0.30000000000000004,0.30000000000000004,1.0,0.1,Wyoming
1,2020-03-15,578759,1736277,1.2000000000000002,1.2000000000000002,1.0,0.4,Wyoming
2,2020-03-28,578759,1736277,2.4,2.4,1.0,0.4351369049984536,Wyoming
3,2020-03-30,578759,1736277,2.4,2.4,1.0,0.4351369049984536,Wyoming
4,2020-03-31,578759,1736277,2.4,2.4,1.0,0.4351369049984536,Wyoming
5,2020-05-01,578759,1736277,2.8,2.8,1.0,0.8117123016661513,Wyoming
6,2020-05-08,578759,1736277,2.8,2.8,1.0,0.8117123016661513,Wyoming
7,2020-05-15,578759,1736277,2.8,2.8,1.0,0.8117123016661513,Wyoming
0,2020-03-13,1359711,1359711,0.1,0.1,1.0,0.1,New Hampshire
1,2020-03-15,1359711,1359711,0.4,0.4,1.0,0.4,New Hampshire
2,2020-03-16,1359711,1359711,0.6,0.6,1.0,0.6,New Hampshire
3,2020-03-27,1359711,1359711,1.0,1.0,1.0,1.0,New Hampshire
4,2020-05-04,1359711,1359711,1.0,1.0,1.0,1.0,New Hampshire
5,2020-05-11,1359711,1359711,1.0,1.0,1.0,1.0,New Hampshire
6,2020-05-18,1359711,1359711,1.0,1.0,1.0,1.0,New Hampshire
0,2020-03-10,6892503,27570012,0.4,0.4,1.0,0.10000000000000002,Massachusetts
1,2020-03-13,6892503,27570012,1.3000000000000003,1.3000000000000003,1.0,0.13463275968106217,Massachusetts
2,2020-03-17,6892503,27570012,2.4,2.4,1.0,0.6,Massachusetts
3,2020-03-24,6892503,27570012,4.0,4.0,1.0,1.0,Massachusetts
4,2020-03-27,6892503,27570012,4.0,4.0,1.0,1.0,Massachusetts
5,2020-05-06,6892503,27570012,4.0,4.0,1.0,1.0,Massachusetts
6,2020-05-18,6892503,27570012,4.0,4.0,1.0,1.0,Massachusetts
0,2020-03-12,3080156,3080156,0.1,0.1,1.0,0.1,Nevada
1,2020-03-15,3080156,3080156,0.4,0.4,1.0,0.4,Nevada
2,2020-03-17,3080156,3080156,0.8,0.8,1.0,0.8,Nevada
3,2020-03-24,3080156,3080156,0.8,0.8,1.0,0.8,Nevada
4,2020-05-01,3080156,3080156,0.8,0.8,1.0,0.8,Nevada
5,2020-05-09,3080156,3080156,0.8,0.8,1.0,0.8,Nevada
0,2020-03-12,1068778,1068778,0.1,0.1,1.0,0.1,Montana
1,2020-03-16,1068778,1068778,0.4,0.4,1.0,0.4,Montana
2,2020-03-20,1068778,1068778,0.6,0.6,1.0,0.6,Montana
3,2020-03-28,1068778,1068778,1.0,1.0,1.0,1.0,Montana
4,2020-04-27,1068778,1068778,1.0,1.0,1.0,1.0,Montana
5,2020-05-04,1068778,1068778,1.0,1.0,1.0,1.0,Montana
0,2020-03-09,11689100,11689100,0.1,0.1,1.0,0.1,Ohio
1,2020-03-12,11689100,11689100,0.3,0.3,1.0,0.3,Ohio
2,2020-03-15,11689100,11689100,0.6,0.6,1.0,0.6,Ohio
3,2020-03-16,11689100,11689100,0.6,0.6,1.0,0.6,Ohio
4,2020-03-23,11689100,11689100,1.0,1.0,1.0,1.0,Ohio
5,2020-05-04,11689100,11689100,1.0,1.0,1.0,1.0,Ohio
6,2020-05-12,11689100,11689100,1.0,1.0,1.0,1.0,Ohio
7,2020-05-15,11689100,11689100,1.0,1.0,1.0,1.0,Ohio
0,2020-03-15,3956971,142450956,3.600000000000002,3.600000000000002,1.0,0.1,Oklahoma
1,2020-03-24,3956971,142450956,11.500000000000005,11.500000000000005,1.0,0.3218423890394951,Oklahoma
2,2020-03-25,3956971,142450956,22.599999999999984,22.599999999999984,1.0,0.6754734871698581,Oklahoma
3,2020-03-28,3956971,142450956,23.799999999999986,23.799999999999986,0.9999999999999996,0.8346391722355309,Oklahoma
4,2020-03-29,3956971,142450956,27.400000000000023,27.400000000000023,0.9999999999999993,0.858110458732197,Oklahoma
5,2020-03-30,3956971,142450956,28.200000000000024,28.200000000000024,0.9999999999999998,0.8726183234600405,Oklahoma
6,2020-04-01,3956971,142450956,29.40000000000002,29.40000000000002,1.0,0.8967531477991628,Oklahoma
7,2020-04-04,3956971,142450956,29.80000000000002,29.80000000000002,1.0,0.9030309800097096,Oklahoma
8,2020-04-06,3956971,142450956,30.600000000000016,30.600000000000016,1.0,0.9060841234368411,Oklahoma
9,2020-04-08,3956971,142450956,31.000000000000014,31.000000000000014,1.0,0.9080524977312193,Oklahoma
10,2020-04-24,3956971,142450956,31.200000000000014,31.200000000000014,1.0,0.8842669304374484,Oklahoma
11,2020-05-01,3956971,142450956,31.200000000000014,31.200000000000014,1.0,0.8842669304374484,Oklahoma
0,2020-03-12,3725789,3725789,0.1,0.1,1.0,0.1,Puerto Rico
1,2020-03-13,3725789,3725789,0.4,0.4,1.0,0.4,Puerto Rico
2,2020-03-15,3725789,3725789,1.0,1.0,1.0,1.0,Puerto Rico
3,2020-04-27,3725789,3725789,1.0,1.0,1.0,1.0,Puerto Rico
4,2020-05-04,3725789,3725789,1.0,1.0,1.0,1.0,Puerto Rico
0,2020-03-09,1059361,1059361,0.1,0.1,1.0,0.1,Rhode Island
1,2020-03-16,1059361,1059361,0.4,0.4,1.0,0.4,Rhode Island
2,2020-03-17,1059361,1059361,0.6,0.6,1.0,0.6,Rhode Island
3,2020-03-26,1059361,1059361,0.6,0.6,1.0,0.6,Rhode Island
4,2020-03-28,1059361,1059361,1.0,1.0,1.0,1.0,Rhode Island
5,2020-04-18,1059361,1059361,1.0,1.0,1.0,1.0,Rhode Island
6,2020-05-08,1059361,1059361,1.0,1.0,1.0,1.0,Rhode Island
0,2020-03-13,28995881,927868192,3.2000000000000015,3.2000000000000015,1.0,0.1,Texas
1,2020-03-19,28995881,927868192,12.800000000000006,12.800000000000006,1.0,0.4,Texas
2,2020-03-23,28995881,927868192,31.4,31.4,0.9999999999999998,0.7786324271368059,Texas
3,2020-03-24,28995881,927868192,31.4,31.4,0.9999999999999998,0.7786324271368059,Texas
4,2020-03-30,28995881,927868192,32.0,32.0,0.9999999999999998,0.9999999999999998,Texas
5,2020-05-01,28995881,927868192,32.0,32.0,0.9999999999999998,0.9999999999999998,Texas
0,2020-03-20,187500,6829174,0.6,0.6,0.027455736228129492,0.016473441736877696,Tennessee
1,2020-03-22,1550697,20487522,2.6,2.6,0.2270694816093425,0.21608718711809072,Tennessee
2,2020-03-24,3608794,40975044,6.0,6.0,0.5284378462168339,0.5284378462168339,Tennessee
3,2020-03-25,3689708,47804218,7.0,7.0,0.5402861312363691,0.5402861312363691,Tennessee
4,2020-03-30,6829174,54633392,7.8,7.8,1.0,0.9080572262472739,Tennessee
5,2020-04-02,6829174,54633392,8.0,8.0,1.0,1.0,Tennessee
6,2020-04-30,6829174,54633392,8.0,8.0,1.0,1.0,Tennessee
0,2020-03-13,884659,884659,0.1,0.1,1.0,0.1,South Dakota
1,2020-03-16,884659,884659,0.4,0.4,1.0,0.4,South Dakota
0,2020-03-13,5148714,25743570,0.5,0.5,1.0,0.09999999999999999,South Carolina
1,2020-03-15,5148714,25743570,2.0,2.0,1.0,0.39999999999999997,South Carolina
2,2020-03-17,5148714,25743570,3.0,3.0,1.0,0.6,South Carolina
3,2020-03-23,5148714,25743570,3.0,3.0,1.0,0.6,South Carolina
4,2020-03-25,5148714,25743570,3.4000000000000004,3.4000000000000004,1.0,0.6105819045299467,South Carolina
5,2020-03-26,5148714,25743570,3.8000000000000003,3.8000000000000003,1.0,0.6209496196525968,South Carolina
6,2020-03-27,5148714,25743570,4.2,4.2,1.0,0.623308888394267,South Carolina
7,2020-04-01,5148714,25743570,4.6,4.6,1.0,0.8116544441971334,South Carolina
