country_id,country_name,date,coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Public information campaigns,Close public transport,Fiscal measures (USD),Monetary measures (%),Emergency investment in health care (USD),Investment in Vaccines (USD),Testing framework,Contact tracing
ABW,Aruba,03-16-2020,General,,,,,,Required Closing,,,,,,,,,,
ABW,Aruba,03-16-2020,,,Ban on high risk regions,,,,,,,,,,,,,,
ABW,Aruba,03-18-2020,General,,,,,,,,,Has public information campaign,,,,,,,
AFG,Afghanistan,03-02-2020,Targeted,,,,,,Required Closing,,,,,,,,,,
AFG,Afghanistan,03-02-2020,,,Screening,,,,,,,,,,,,,,
AFG,Afghanistan,03-14-2020,General,,,,,,Required Closing,,,,,,,,,,
AFG,Afghanistan,03-14-2020,,,,,,,,,,,25000000.0,,,,,,
AFG,Afghanistan,03-26-2020,Targeted,,,,,,,,Required Closing Workspaces,,,,,,,,
AFG,Afghanistan,03-01-2020,Targeted,,,,Required Cancelling Public Events,,,,,,,,,,,,
AFG,Afghanistan,03-01-2020,General,,,,,,,,,Has public information campaign,,,,,,,
AFG,Afghanistan,03-27-2020,Targeted,,,,,,,,,,Required Closing Public Transport,,,,,,
AFG,Afghanistan,03-24-2020,Targeted,,,Restrict movement,,,,,,,,,,,,,
AFG,Afghanistan,03-12-2020,,,,,,,,,,,15000000.0,,,,,,
AGO,Angola,03-24-2020,,,,,,,Required Closing,,,,,,,,,,
AGO,Angola,03-24-2020,General,,,,,,,,Recommend Closing Workspaces,,,,,,,,
AGO,Angola,03-24-2020,General,,,,Required Cancelling Public Events,,,,,,,,,,,,
AGO,Angola,03-25-2020,General,,,,,,Required Closing,,,,,,,,,,
AGO,Angola,03-27-2020,General,,,,,,,,Required Closing Workspaces,,,,,,,,
AGO,Angola,03-27-2020,General,,,Restrict movement,,,,,,,,,,,,,
AGO,Angola,02-06-2020,,,Quarantine on high-risk regions,,,,,,,,,,,,,,
AGO,Angola,03-01-2020,,,Ban on high risk regions,,,,,,,,,,,,,,
AGO,Angola,04-03-2020,,,,,,,,,,,9000000.0,,,,,,
ARE,United Arab Emirates,03-01-2020,Targeted,,,,,,Required Closing,,,,,,,,,,
ARE,United Arab Emirates,03-01-2020,Targeted,,,,,,,,Recommend Closing Workspaces,,,,,,,,
ARE,United Arab Emirates,03-08-2020,General,,,,,,Required Closing,,,,,,,,,,
ARE,United Arab Emirates,03-25-2020,Targeted,,,,,,,,Required Closing Workspaces,,,,,,,,
ARE,United Arab Emirates,03-29-2020,General,,,,,,,,Required Closing Workspaces,,,,,,,,
ARE,United Arab Emirates,03-15-2020,General,,,,Recommend Cancelling Public Events,,,,,,,,,,,,
ARE,United Arab Emirates,03-16-2020,General,,,,Required Cancelling Public Events,,,,,,,,,,,,
ARE,United Arab Emirates,03-16-2020,,,,,,,,,,,27000000000.0,,,,,,
ARE,United Arab Emirates,03-26-2020,Targeted,,,,,,,,,,Required Closing Public Transport,,,,,,
ARE,United Arab Emirates,03-26-2020,General,,,Restrict movement,,,,,,,,,,,,,
ARE,United Arab Emirates,03-13-2020,Targeted,,,,,,,,,Has public information campaign,,,,,,,
ARE,United Arab Emirates,03-23-2020,General,,,,,,,,,Has public information campaign,,,,,,,
ARE,United Arab Emirates,03-23-2020,General,,,Recommend movement restriction,,,,,,,,,,,,,
ARE,United Arab Emirates,01-23-2020,,,Screening,,,,,,,,,,,,,,
ARE,United Arab Emirates,02-24-2020,,,Ban on high risk regions,,,,,,,,,,,,,,
ARE,United Arab Emirates,03-12-2020,,,,,,,,,,,480000000.0,,,,,,
ARE,United Arab Emirates,04-05-2020,,,,,,,,,,,69694003200.0,,,,,,
ARE,United Arab Emirates,01-01-2020,,,,,,,,,,,1.5,,,,,,
ARG,Argentina,03-16-2020,General,,,,,,Required Closing,,,,,,,,,,
ARG,Argentina,03-16-2020,Targeted,,,,,,,,Required Closing Workspaces,,,,,,,,
ARG,Argentina,03-16-2020,,,Ban on high risk regions,,,,,,,,,,,,,,
ARG,Argentina,03-30-2020,General,,,,,,,,Recommend Closing Workspaces,,,,,,,,
ARG,Argentina,04-09-2020,General,,,,,,,,Required Closing Workspaces,,,,,,,,
ARG,Argentina,03-13-2020,General,,,,Required Cancelling Public Events,,,,,,,,,,,,
ARG,Argentina,03-20-2020,General,,,,,,,,,,Required Closing Public Transport,,,,,,
ARG,Argentina,03-20-2020,General,,,Restrict movement,,,,,,,,,,,,,
ARG,Argentina,01-23-2020,General,,,,,,,,,Has public information campaign,,,,,,,
ARG,Argentina,03-11-2020,,,Quarantine on high-risk regions,,,,,,,,,,,,,,
