State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference
Alabama,State-wide,Alabama,3/13/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-10,4903185,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769902
Alabama,State-wide,Alabama,3/27/20,NA,NA,NA,NA,NA,NA,NA,Some (cherry-picked) businesses closed,"On March 27, all non-essential businesses"" in the state were ordered to be closed until April 17, including barbershops, furniture stores, gyms, casinos, theaters, arcades, night clubs, salons and spas. ABC stores would remain open. Governor Ivey again re",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,4903185,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769903
Alabama,State-wide,Alabama,3/2/20,NA,NA,NA,Suggested social distancing,NA,NA,NA,NA,"On March 2, the Alabama Department of Public Health advised individuals to wash your hands frequently, avoid touching your face, cover coughs and sneezes, stay home when you are ill, and practice social distancing strategies"".""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,4903185,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769904
Alabama,State-wide,Alabama,4/4/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On April 3, Governor Ivey issued a statewide stay-at-home order effective April 4 until April 30.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,4903185,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769905
Alabama,State-wide,Alabama,3/18/20,NA,NA,NA,Banned gatherings of a certain size,50,Schools closed,NA,NA,"On March 12, all schools were closed from March 18 until April 6 and ""On March 18, statewide health order prohibited all non-work related gatherings of 25+ persons or any non-work related gatherings that cannot maintain consistent six-foot spacing between",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,4903185,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769906
Alabama,Regional,Birmingham,3/24/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 24, Birmingham issued a stay-at-home order (as a 24-hour curfew) effective March 24 to April 3.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,209880,https://www.census.gov/quickfacts/fact/table/birminghamcityalabama/IPE120218
Alabama,Regional,Montgomery,3/27/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Tuscaloosa city mayor Walt Maddox issued a city-wide curfew, lasting from 10:00 p.m. until 5:00 a.m. each day, effective March 27 to April 3.... ""Tuscaloosa extended its city-wide curfew to 24 hours, beginning March 29 at 10:00 p.m., set to last an additi",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,198218,https://www.census.gov/quickfacts/fact/table/montgomerycityalabama/PST040219
Alabama,Regional,Tuscaloosa,3/27/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Tuscaloosa city mayor Walt Maddox issued a city-wide curfew, lasting from 10:00 p.m. until 5:00 a.m. each day, effective March 27 to April 3.... ""Tuscaloosa extended its city-wide curfew to 24 hours, beginning March 29 at 10:00 p.m., set to last an additi",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,2020-04-10,101113,https://www.census.gov/quickfacts/tuscaloosacityalabama
Alaska,State-wide,Alaska,3/25/20,NA,Travel restrictions for out of state travelers,NA,NA,NA,NA,NA,NA,"Mike Dunleavy ordered everyone arriving in Alaska to self-quarantine for 14 days upon arrival, effective March 25, with limited exceptions",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,2020-04-10,731545,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769907
Alaska,State-wide,Alaska,3/18/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Effective March 18, restaurants were restricted to take-out and delivery, and entertainment venues such as movie theaters and gyms were closed.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,2020-04-10,731545,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769908
Alaska,State-wide,Alaska,3/11/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,NA,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-10,731545,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769909
Alaska,State-wide,Alaska,3/16/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"On March 13, Governor Mike Dunleavy ordered public schools to close from March 16 to 30, which was later extended to May 1.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,2020-04-10,731545,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769910
Alaska,Regional,Anchorage,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Mayor of Anchorage Ethan Berkowitz issued an emergency hunker down order"" effective March 22""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,2020-04-10,288000,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770088
Arizona,State-wide,Arizona,3/31/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 30, Gov. Ducey issued a statewide stay at home order to stop the spread of new coronavirus, barring Arizonans from leaving their residences except for food, medicine, and other essentials. The order took effect at the close of business March 31.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,2020-04-10,7278717,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769911
Arizona,State-wide,Arizona,3/12/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,Arizona Governor Doug Ducey declared a public health emergency on March 12.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,2020-04-10,7278717,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769912
