Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/10/2020 14:39:02,Alabama,03-02-2020,State-wide,,,,Suggested social distancing,,,,,"""On March 2, the Alabama Department of Public Health advised individuals to ""wash your hands frequently, avoid touching your face, cover coughs and sneezes, stay home when you are ill, and practice social distancing strategies"".""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/2020 14:42:59,Alabama,03-18-2020,State-wide,,,,Banned gatherings of a certain size,50,Schools closed,,,"""On March 12, all schools were closed from March 18 until April 6"" and ""On March 18, statewide health order prohibited all non-work related gatherings of 25+ persons or any non-work related gatherings that cannot maintain consistent six-foot spacing between people.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/2020 14:49:49,Alabama,03-24-2020,Birmingham,,,Shelter-in-place order,,,,,,"""On March 24, Birmingham issued a stay-at-home order (as a 24-hour curfew) effective March 24 to April 3.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/2020 14:52:59,Alabama,03-27-2020,Tuscaloosa and Montgomery,,,Shelter-in-place order,,,,,,"""Tuscaloosa city mayor Walt Maddox issued a city-wide curfew, lasting from 10:00 p.m. until 5:00 a.m. each day, effective March 27 to April 3.""... ""Tuscaloosa extended its city-wide curfew to 24 hours, beginning March 29 at 10:00 p.m., set to last an additional week. The Tuscaloosa stay-at-home order (the second in the state) came after Alabama Attorney General Steve Marshall's opinion published on the same day that provided cities and counties with more authority to combat the pandemic."" and ""Montgomery mayor Steven Reed enacted an indefinite, 10:00 p.m. to 5:00 a.m. curfew starting the night of March 27 to help contain COVID-19. The order does not impact essential businesses.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/2020 14:55:16,Alabama,03-27-2020,State-wide,,,,,,,,Some (cherry-picked) businesses closed,"""On March 27, all ""non-essential businesses"" in the state were ordered to be closed until April 17, including barbershops, furniture stores, gyms, casinos, theaters, arcades, night clubs, salons and spas. ABC stores would remain open. Governor Ivey again refused to issue a state-wide shelter-in-place order, saying ""I have the responsibility to look statewide and in this case, one size does not fit all"" and that she has to ""keep an eye on the economy""; she added that she would not object to county and city-level containment efforts""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/2020 14:59:49,Alabama,03-13-2020,State-wide,State of Emergency declared,,,,,,,,,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/10/2020 15:01:18,Alabama,04-04-2020,State-wide,,,Shelter-in-place order,,,,,,"""On April 3, Governor Ivey issued a statewide stay-at-home order effective April 4 until April 30.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/2020 15:10:26,Alaska,03-16-2020,State-wide,,,,,,Schools closed,,,"""On March 13, Governor Mike Dunleavy ordered public schools to close from March 16 to 30, which was later extended to May 1.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
4/10/2020 15:12:22,Alaska,03-18-2020,State-wide,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"""Effective March 18, restaurants were restricted to take-out and delivery, and entertainment venues such as movie theaters and gyms were closed.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
4/10/2020 15:13:19,Alaska,03-22-2020,Anchorage,,,Shelter-in-place order,,,,,,"""Mayor of Anchorage Ethan Berkowitz issued an ""emergency hunker down order"" effective March 22""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
4/10/2020 15:14:01,Alaska,03-25-2020,State-wide,,Travel restrictions for out of state travelers,,,,,,,"""Mike Dunleavy ordered everyone arriving in Alaska to self-quarantine for 14 days upon arrival, effective March 25, with limited exceptions""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
