Country_Region,Province_State,Regions,State of emergency declared,Date Enacted,Planned End Date,Actual End Date,Measure Called,Type,Comments,Leaving Residence Allowed,K-12 School Closure,Non-essential Business Closure,Non-essential Retail Closure,Bar/Sitdown-restaurant Closure,Out-of-state travel restrictions,Gathering banned,Gathering (deprecated),Reference,Reference,,Coding,Definition
United States,Alabama,All,03-13-2020,03-28-2020,,,Stay at home,Level 0 Lockdown,Advise to stay home,Some Restriction,Entire Semester,Yes,Yes,Yes,No,10 or more,,https://www.al.com/news/2020/03/ivey-urges-alabamians-to-stay-at-home-but-issues-no-new-orders.html,https://thehill.com/homenews/state-watch/490695-several-states-have-yet-to-issue-stay-at-home-orders,,Level 4 Lockdown,Not allowed to leave household at all
United States,Alaska,All,03-11-2020,03-22-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,Mandatory quarantine,10 or more,"6 feet apart except hosehold member, gathering less than 10 people",http://dhss.alaska.gov/News/Documents/press/2020/FAQs_03272020-SOA-COVID-19-Health-Mandate-011-012.pdf,,,Level 3 Lockdown,Not allowed to leave household at certain times (curfew)
United States,Arizona,All,03-11-2020,03-31-2020,,,Stay at home,Level 1 Lockdown,,Only for Essential,Entire Semester,Most,Yes,Yes,No,50 or more,no gathering more than 10 people,https://www.azcentral.com/story/news/local/arizona-health/2020/03/30/arizona-coronavirus-stay-home-order-issued-gov-doug-ducey/5088109002/,,,Level 2 Lockdown,Allowed to leave only for essential tasks
United States,California,All,03-04-2020,03-19-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,Yes,No,All,6 feet apart except hosehold member,https://www.nytimes.com/2020/03/20/us/coronavirus-california-stay-at-home-order.html,,,Level 1 Lockdown,Encouraged to stay home with some stores closed
United States,Colorado,All,03-10-2020,03-26-2020,,,Stay in Place,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Restricted,No,10 or more,,https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/assets/v3/editorial/8/84/88433c74-6ef6-11ea-aff1-87d30dde333c/5e7bf3838916a.pdf.pdf,,,Level 0 Lockdown,Encouraged to stay home with few or no stores closed
United States,Connecticut,All,03-10-2020,03-23-2020,,,Stay at home,Level 1 Lockdown,Leave home not in groups,Some Restriction,Temporary,Yes,Yes,Yes,No,All,"6 feet apart, prohibit gathering of any size",https://www.courant.com/coronavirus/hc-news-coronavirus-update-0320-20200320-m5oro7ss3vb3nlqsormcmt6nty-story.html,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Signs-Executive-Order-Asking-Connecticut-Businesses-and-Residents-Stay-Safe,,Social Distancing,Encouraged to social distance and limit gathering
United States,Delaware,All,03-12-2020,03-24-2020,05-15-2020,,Shelter in Place,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://www.delawareonline.com/story/news/coronavirus-in-delaware/2020/03/22/coronavirus-delaware-count-up-47-confirmed-cases-state/2894015001/,,,,
United States,District of Columbia,All,03-11-2020,04-01-2020,04-24-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,10 or more,6 feet apart,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/page_content/attachments/Mayor%27s%20Order%202020-054%20Stay%20at%20Home.pdf,,,,
United States,Florida,All,03-01-2020,04-03-2020,04-30-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,Limited quarantine / Screened,10 or more,,,,,,
United States,Georgia,All,03-14-2020,04-03-2020,,,Shelter in Place,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,No,No,10 or more,,https://www.ajc.com/blog/politics/breaking-georgia-governor-orders-shelter-place-curb-coronavirus/vdAoWkjq39W2usr9e8W8BL/,,,,
