Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,Face Covering Requirements,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
5/8/2020 16:06:47,Alabama,5/1/2020,State-wide,,,Shelter-in-place order lifted,Banned gatherings of a certain size,10,Face covering requirements for some workers,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""People are encouraged to stay at home and practice good sanitation procedures but the stay-at-home order is lifted. All retail stores will be allowed to reopen, subject to sanitation and social-distancing guidelines. Occupancy will be limited to 50 percent. Restaurants, bars and breweries remain limited to take-out, curbside or delivery. Non work-related gatherings of 10 people or more are prohibited. Entertainment venues, such as night clubs, theaters and bowling alleys will be closed. Athletic facilities such as gyms will be closed. Close-contact service providers such as barber shops, hair salons, nail salons, gyms and tattoo service will remain closed.""",https://www.al.com/news/2020/04/gov-kay-ivey-press-conference-on-plans-for-reopening-alabama-watch-live.html
5/28/2020 10:00:00,Alabama,5/11/2020,State-wide,,,,Banning gatherings lifted,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Ivey later announced a second amended order that applied statewide from May 11 to May 22. It permitted restaurants to open at a 50% occupancy rate with six feet of spacing between tables. Personal care services like barber shops and salons can operate according to state protocols. Gyms, athletic facilities and athletic classes can resume under strict sanitation and social distancing guidelines"" and ""The amended Safer at Home order removes the 10 person limit on non-work gatherings, including those at beaches. People are still required to maintain six feet of distance from non-household members.",
5/8/2020 16:20:53,Alaska,4/24/2020,State-wide,,,Shelter-in-place order lifted,Banned gatherings of a certain size,20,Face covering requirements for the public (non-workers) in certain situations,,Bar and dine-in restaurant open with extra requirements,Non-essential businesses allowed to operate possibly with extra requirements,"""... restaurants were permitted to reopen for dine-in service statewide. ... Restaurants can only be filled to 25% of their capacity at once. Alaskans aren’t being asked to stay home anymore, according to the new statewide mandate that took effect Friday and allows for small religious, social and other gatherings. Indoor and outdoor gatherings are limited to 20 people... Retail: Only 20 people or 25% of the store’s capacity, whichever number is smaller, can be in the store at once. All employees need to wear cloth face coverings... The state and the municipality released an extensive list of personal care services that can launch back into motion under specific restrictions, including hair salons, barber shops, nail salons... Workout and fitness classes can take place outside, according to the state’s guidelines... Though travel around the state was previously banned, Alaskans can now drive to different communities on the road system... Non-essential, non-public-facing businesses (like law firms or marketing offices): Desks or work stations need to be at least 6 feet apart. "" ",https://www.adn.com/alaska-news/2020/04/25/what-the-reopening-looks-like-under-plans-from-anchorage-and-the-state-of-alaska/
5/8/2020 16:25:02,Arizona,5/8/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Barbershops and salons can resume hair, nail, waxing and other services by appointment Friday if they limit occupancy, implement social distancing measures, up sanitation protocols and provide cloth masks to employees, the governor said.""",https://www.azcentral.com/story/news/local/arizona-health/2020/05/04/arizona-salons-can-reopen-may-8-dine-restaurants-may-11/3080788001/
5/8/2020 16:25:36,Arizona,5/11/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,,"""On Monday, restaurants and coffee shops can start offering dine-in service. They must also limit occupancy and physically distance diners, in addition to checking employees for COVID-19 symptoms before their shifts.""",https://www.azcentral.com/story/news/local/arizona-health/2020/05/04/arizona-salons-can-reopen-may-8-dine-restaurants-may-11/3080788001/
5/28/2020 10:09:14,Arizona,5/15/2020,State-wide,,,Shelter-in-place order lifted,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The stay-at-home order was replaced on May 16 by an executive order outlining guidance for the next phase of economic recovery. More sectors can reopen incrementally in line with guidance for employers and individuals.""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state
5/8/2020 16:27:33,Arkansas,5/11/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,,"""Arkansas restaurants may reopen their dining rooms on Monday, May 11, Gov. Asa Hutchinson announced Wednesday. Restaurants may only seat 33 percent of their total occupancy when they initially reopen, the governor said.""",https://www.baxterbulletin.com/story/news/local/2020/04/29/arkansas-restaurants-reopening-plan-coronavirus-covid-19-updates-cases-deaths/3048197001/
5/10/2020 9:47:21,Arkansas,5/4/2020,State-wide,,,,,,Face covering requirements for some workers,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Among the requirements for gyms and athletic clubs are spacing patrons 12 feet apart, ensuring employees and patrons wear cloth masks except while actively exercising, making hand sanitizer available and sanitizing equipment between each use. Use of showers, pools, spas and saunas is still banned under the requirements.""",https://www.arkansasonline.com/news/2020/apr/30/watch-live-130-gov-speak-coronavirus-response-case/
5/28/2020 10:12:21,Arkansas,5/18/2020,State-wide,,,,,,,,,Non-essential businesses allowed to operate possibly with extra requirements,"""Hutchinson: Starting Monday, May 18th all retailers are open with phase I restrictions specific to their industry under @ADHPIO guidelines. As we move towards next phases I encourage everyone to continue the basic safety measures to keep everyone safe while Arkansas is ready for business.""",https://twitter.com/AsaHutchinson/status/1261451204753674240?s=20
5/28/2020 14:09:31,California,5/12/2020,Selected counties (based on specific metrics),,,Shelter-in-place order lifted,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Starting May 12, restaurants and shopping centers were allowed to open in counties that meet certain criteria.""",https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/reopening-across-counties/ and https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html and https://covid19.ca.gov/roadmap-counties/
5/10/2020 9:50:57,Colorado,4/27/2020,State-wide,,,Shelter-in-place order lifted,,,,,,,"""Stay-at-home order expired on April 26. Gov. Jared Polis, a Democrat, asked Colorado to transition to a safer at home approach, in which retail businesses could open for curbside pickup and real estate showings could resume.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/10/2020 9:51:42,Colorado,5/1/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Retail and personal services can open (if implementing best practices).""",https://covid19.colorado.gov/safer-at-home
