date,region,mobility
1/13/2020,X,100
1/14/2020,X,102.97
1/15/2020,X,105.19
1/16/2020,X,108.48
1/17/2020,X,125.51
1/18/2020,X,115.04
1/19/2020,X,90.91
1/20/2020,X,102.57
1/21/2020,X,103.07
1/22/2020,X,103.01
1/23/2020,X,107.9
1/24/2020,X,124.7
1/25/2020,X,120.92
1/26/2020,X,87.32
1/27/2020,X,97.97
1/28/2020,X,101.54
1/29/2020,X,102.2
1/30/2020,X,107.61
1/31/2020,X,126.08
2/1/2020,X,122.32
2/2/2020,X,85.25
2/3/2020,X,98.86
2/4/2020,X,101.99
2/5/2020,X,101.77
2/6/2020,X,107.72
2/7/2020,X,124.07
2/8/2020,X,122.87
2/9/2020,X,91.58
2/10/2020,X,102.93
2/11/2020,X,106.75
2/12/2020,X,109.02
2/13/2020,X,118.36
2/14/2020,X,145.4
2/15/2020,X,132.51
2/16/2020,X,102.27
2/17/2020,X,110.78
2/18/2020,X,109.46
2/19/2020,X,110.85
2/20/2020,X,114.86
2/21/2020,X,135.85
2/22/2020,X,134.35
2/23/2020,X,99.48
2/24/2020,X,106.23
2/25/2020,X,110.27
2/26/2020,X,112.36
2/27/2020,X,118.85
2/28/2020,X,139.8
2/29/2020,X,138.41
3/1/2020,X,101.04
3/2/2020,X,107.73
3/3/2020,X,112.98
3/4/2020,X,113.05
3/5/2020,X,119.74
3/6/2020,X,139.98
3/7/2020,X,137.37
3/8/2020,X,101.64
3/9/2020,X,109.65
3/10/2020,X,111.34
3/11/2020,X,110.97
3/12/2020,X,108.49
3/13/2020,X,117.01
3/14/2020,X,102.87
3/15/2020,X,76.16
3/16/2020,X,84.09
3/17/2020,X,77.04
3/18/2020,X,72.84
3/19/2020,X,70.21
3/20/2020,X,74.33
3/21/2020,X,62.31
3/22/2020,X,46.45
3/23/2020,X,55.73
3/24/2020,X,55.52
3/25/2020,X,55.24
3/26/2020,X,56.81
3/27/2020,X,62.22
3/28/2020,X,52.56
3/29/2020,X,42.96
3/30/2020,X,53.53
3/31/2020,X,53.98
4/1/2020,X,55.49
4/2/2020,X,55.64
4/3/2020,X,60.61
4/4/2020,X,52.22
4/5/2020,X,42.19
4/6/2020,X,53.73
4/7/2020,X,55.27
4/8/2020,X,56.21
4/9/2020,X,56.9
4/10/2020,X,63.87
4/11/2020,X,57.51
4/12/2020,X,37.42
4/13/2020,X,54.98
4/14/2020,X,59.3
4/15/2020,X,63.03
4/16/2020,X,64.11
4/17/2020,X,70.71
4/18/2020,X,65.07
4/19/2020,X,52.71
4/20/2020,X,65.15
4/21/2020,X,65
4/22/2020,X,66.49
4/23/2020,X,68
4/24/2020,X,76.68
4/25/2020,X,72.62
4/26/2020,X,57.06
4/27/2020,X,68.77
4/28/2020,X,71.33
4/29/2020,X,71.86
4/30/2020,X,74.98
5/1/2020,X,88.5
5/2/2020,X,84.34
5/3/2020,X,68.08
5/4/2020,X,78.01
5/5/2020,X,80.55
5/6/2020,X,81.47
5/7/2020,X,85.85
5/8/2020,X,95.56
5/9/2020,X,93.62
5/10/2020,X,70.41
5/11/2020,X,0
5/12/2020,X,0
5/13/2020,X,91.01
5/14/2020,X,94.41
5/15/2020,X,109.51
5/16/2020,X,104.87
5/17/2020,X,83.6
5/18/2020,X,94.5
5/19/2020,X,99.48
5/20/2020,X,102.44
5/21/2020,X,107.95
5/22/2020,X,125.32
5/23/2020,X,115.84
5/24/2020,X,95.79
5/25/2020,X,92.54
5/26/2020,X,106.47
5/27/2020,X,108.78
5/28/2020,X,111.45
5/29/2020,X,127.18
5/30/2020,X,123.59
5/31/2020,X,97.96
6/1/2020,X,107.63
6/2/2020,X,109.14
6/3/2020,X,111.61
6/4/2020,X,117.88
1/13/2020,AL,100
1/14/2020,AL,102.9
1/15/2020,AL,103.51
1/16/2020,AL,109.71
1/17/2020,AL,133.97
1/18/2020,AL,118.17
1/19/2020,AL,89.3
1/20/2020,AL,107.34
1/21/2020,AL,101.15
1/22/2020,AL,100.33
1/23/2020,AL,105.53
1/24/2020,AL,125.69
1/25/2020,AL,122.09
1/26/2020,AL,82.45
1/27/2020,AL,98.85
1/28/2020,AL,101.6
1/29/2020,AL,97.95
1/30/2020,AL,109.32
1/31/2020,AL,129.43
2/1/2020,AL,123.78
2/2/2020,AL,87.78
2/3/2020,AL,100.84
2/4/2020,AL,101.5
2/5/2020,AL,97.22
2/6/2020,AL,105.55
2/7/2020,AL,127.88
2/8/2020,AL,121.14
2/9/2020,AL,91.5
2/10/2020,AL,100.76
2/11/2020,AL,106.25
2/12/2020,AL,106.59
2/13/2020,AL,122.67
2/14/2020,AL,152.62
2/15/2020,AL,136.69
2/16/2020,AL,97.66
2/17/2020,AL,113.36
2/18/2020,AL,108.61
2/19/2020,AL,112.41
2/20/2020,AL,116.53
2/21/2020,AL,148.9
2/22/2020,AL,141.79
2/23/2020,AL,100.77
2/24/2020,AL,109.77
2/25/2020,AL,115.64
2/26/2020,AL,116.12
2/27/2020,AL,125.69
2/28/2020,AL,152.84
2/29/2020,AL,149.38
3/1/2020,AL,104.53
3/2/2020,AL,110.73
3/3/2020,AL,115.38
3/4/2020,AL,110.9
3/5/2020,AL,124.09
3/6/2020,AL,157.82
3/7/2020,AL,158.73
3/8/2020,AL,109.85
3/9/2020,AL,119.48
3/10/2020,AL,119.23
3/11/2020,AL,119.83
3/12/2020,AL,129.93
3/13/2020,AL,143.13
3/14/2020,AL,139.87
3/15/2020,AL,94.6
3/16/2020,AL,101.37
3/17/2020,AL,94.06
3/18/2020,AL,91.95
3/19/2020,AL,91.01
3/20/2020,AL,96.05
3/21/2020,AL,80.87
3/22/2020,AL,56.34
3/23/2020,AL,68.01
3/24/2020,AL,70.35
3/25/2020,AL,74.9
3/26/2020,AL,77.58
3/27/2020,AL,83.93
3/28/2020,AL,73.09
3/29/2020,AL,55.39
3/30/2020,AL,69.87
3/31/2020,AL,65.71
4/1/2020,AL,72.21
4/2/2020,AL,74.02
4/3/2020,AL,81.15
4/4/2020,AL,63.88
4/5/2020,AL,47.43
4/6/2020,AL,66.24
4/7/2020,AL,64.79
4/8/2020,AL,67.16
4/9/2020,AL,74.06
4/10/2020,AL,81.02
4/11/2020,AL,70.31
4/12/2020,AL,38.02
4/13/2020,AL,73.6
4/14/2020,AL,76.29
4/15/2020,AL,80.49
4/16/2020,AL,84.27
4/17/2020,AL,93.82
4/18/2020,AL,83.72
4/19/2020,AL,53
4/20/2020,AL,85.85
4/21/2020,AL,86.77
4/22/2020,AL,86.64
4/23/2020,AL,77.99
4/24/2020,AL,103.96
4/25/2020,AL,91.72
4/26/2020,AL,71.99
4/27/2020,AL,89.64
4/28/2020,AL,92.04
4/29/2020,AL,85.27
4/30/2020,AL,102.2
5/1/2020,AL,119.89
5/2/2020,AL,110.38
5/3/2020,AL,88.34
5/4/2020,AL,104.61
5/5/2020,AL,106.75
5/6/2020,AL,111.02
5/7/2020,AL,117.71
5/8/2020,AL,124.49
5/9/2020,AL,124.61
5/10/2020,AL,90.78
5/11/2020,AL,0
5/12/2020,AL,0
5/13/2020,AL,125.44
5/14/2020,AL,134.74
5/15/2020,AL,152.9
5/16/2020,AL,146.28
5/17/2020,AL,109.82
5/18/2020,AL,128.19
5/19/2020,AL,133.12
5/20/2020,AL,137.13
5/21/2020,AL,150.24
5/22/2020,AL,174.64
5/23/2020,AL,162
5/24/2020,AL,124.74
5/25/2020,AL,132.84
5/26/2020,AL,134.48
5/27/2020,AL,134.02
5/28/2020,AL,149.39
5/29/2020,AL,169.27
5/30/2020,AL,168.52
5/31/2020,AL,129.4
6/1/2020,AL,136.28
6/2/2020,AL,133.65
6/3/2020,AL,137.76
6/4/2020,AL,147.09
1/13/2020,AK,100
1/14/2020,AK,104.69
1/15/2020,AK,104.64
1/16/2020,AK,110.1
1/17/2020,AK,126.32
1/18/2020,AK,122.44
1/19/2020,AK,91.11
1/20/2020,AK,98.78
1/21/2020,AK,104.55
1/22/2020,AK,104.3
1/23/2020,AK,105.26
1/24/2020,AK,122.92
1/25/2020,AK,116.96
1/26/2020,AK,84.2
1/27/2020,AK,99.6
1/28/2020,AK,99.76
1/29/2020,AK,102.31
1/30/2020,AK,105.06
1/31/2020,AK,122.27
2/1/2020,AK,119.04
2/2/2020,AK,82.5
2/3/2020,AK,101.77
2/4/2020,AK,102.76
2/5/2020,AK,106.87
2/6/2020,AK,113.41
2/7/2020,AK,131.27
2/8/2020,AK,123.14
2/9/2020,AK,94.15
2/10/2020,AK,102.66
2/11/2020,AK,106.55
2/12/2020,AK,105.08
2/13/2020,AK,118.67
2/14/2020,AK,142.33
2/15/2020,AK,130.53
2/16/2020,AK,102.35
2/17/2020,AK,108.8
2/18/2020,AK,106.72
2/19/2020,AK,108.95
2/20/2020,AK,112.84
2/21/2020,AK,131.76
2/22/2020,AK,129.62
2/23/2020,AK,96.81
2/24/2020,AK,111.14
2/25/2020,AK,112.51
2/26/2020,AK,112.52
2/27/2020,AK,119.63
2/28/2020,AK,139.78
2/29/2020,AK,136.2
3/1/2020,AK,97.47
3/2/2020,AK,110.28
3/3/2020,AK,109.12
3/4/2020,AK,111.65
3/5/2020,AK,119.5
3/6/2020,AK,140.26
3/7/2020,AK,134.89
3/8/2020,AK,113.42
3/9/2020,AK,117.51
3/10/2020,AK,118.25
3/11/2020,AK,118.97
3/12/2020,AK,117.13
3/13/2020,AK,123.7
3/14/2020,AK,111.58
3/15/2020,AK,82.99
3/16/2020,AK,90.2
3/17/2020,AK,88.9
3/18/2020,AK,79.9
3/19/2020,AK,79.84
3/20/2020,AK,86.61
3/21/2020,AK,72.41
3/22/2020,AK,63.06
3/23/2020,AK,64.78
3/24/2020,AK,68.09
3/25/2020,AK,64.82
3/26/2020,AK,70.73
3/27/2020,AK,75.4
3/28/2020,AK,65.99
3/29/2020,AK,50
3/30/2020,AK,64.89
3/31/2020,AK,69.1
4/1/2020,AK,67.78
4/2/2020,AK,65.35
4/3/2020,AK,74.18
4/4/2020,AK,67.72
4/5/2020,AK,55.78
4/6/2020,AK,68.91
4/7/2020,AK,69.23
4/8/2020,AK,70.08
4/9/2020,AK,74.71
4/10/2020,AK,84.37
4/11/2020,AK,80.08
4/12/2020,AK,50.31
4/13/2020,AK,73.04
4/14/2020,AK,78.33
4/15/2020,AK,84.12
4/16/2020,AK,85.19
4/17/2020,AK,96.32
4/18/2020,AK,91.52
4/19/2020,AK,72.72
4/20/2020,AK,85.33
4/21/2020,AK,86.93
4/22/2020,AK,92.88
4/23/2020,AK,94.09
4/24/2020,AK,105.86
4/25/2020,AK,107.96
4/26/2020,AK,86.04
4/27/2020,AK,102.82
4/28/2020,AK,104.81
4/29/2020,AK,108.48
