Country_ID,Country_Region,State,Date Enacted,Date Ended,Lockdown Type,Comments,Border Lockdown,Date Enacted
CN,China,,1-23-2020,,Full,Not all regions: https://www.businessinsider.com/wuhan-coronavirus-officials-quarantine-entire-city-2020-1,,
IT,Italy,,3-9-2020,,Full,,,
DK,Denmark,,3-11-2020,,Full,,,
SV,El Salvador,,3-11-2020,,Partial,Schools closed; travelers quarantined; restaurants still open,,
NO,Norway,,3-12-2020,,Full,,,
IE,Ireland,,3-12-2020,,Partial,"Schools, colleges closed; restaurants still open.",,
KW,Kuwait,,3-13-2020,,Full,,,
PL,Poland,,3-13-2020,,Full,,,
KE,Kenya,,3-15-2020,,Full,,,
ES,Spain,,3-15-2020,,Full,,,
CZ,Czech Republic,,3-16-2020,,Full,,,
FR,France,,3-16-2020,,Full,,,
MY,Malaysia,,3-16-2020,,Full,,,
BE,Belgium,,3-17-2020,,Full,,,
IL,Israel,,3-19-2020,,Full,Foreigners already prevented from entering the country prior to this,,
AR,Argentina,,3-21-2020,,Full,,,
JO,Jordan,,3-21-2020,,Full,,,
GB,United Kingdom,,3-23-2020,,Full,,,
AU,Australia,,3-23-2020,,Partial,Only non-essential businesses shut; schools still open,,
CO,Colombia,,3-24-2020,,Full,,,
IN,India,,3-24-2020,,Full,,,
PK,Pakistan,,3-24-2020,,Localized Full,"Some states locked down, implements full closure",Full (IF),3/21
NZ,New Zealand,,3-25-2020,,Full,,,
ZA,South Africa,,3-26-2020,,Full,,,
